,RhIN,TempIN,no2,o3
2014-07-25 15:11:00,16.7,46.6,844.0,559.0
2014-07-25 15:12:00,16.8,46.8,846.0,560.0
2014-07-25 15:13:00,17.2,46.85,847.0,561.0
2014-07-25 15:14:00,17.3,47.0,848.0,563.0
2014-07-25 16:13:00,17.1,40.9,755.0,474.0
2014-07-25 16:14:00,17.4,40.7,755.0,473.0
2014-07-25 16:15:00,17.6,40.65,753.0,472.0
2014-07-25 16:16:00,17.8,40.6,752.0,472.0
2014-07-25 17:16:00,22.45,40.0,757.5,476.0
2014-07-25 17:17:00,22.4,40.0,757.0,476.0
2014-07-25 17:18:00,22.3,40.1,758.0,476.0
2014-07-25 17:19:00,22.4,40.2,759.0,477.0
2014-07-25 18:18:00,22.7,37.0,694.0,435.0
2014-07-25 18:19:00,22.9,37.0,694.0,435.0
2014-07-25 18:20:00,22.6,36.9,692.5,433.5
2014-07-25 18:21:00,22.4,36.9,691.0,433.0
2014-07-25 19:21:00,27.3,33.4,657.0,400.0
2014-07-25 19:22:00,27.35,33.4,657.0,400.0
2014-07-25 19:23:00,27.2,33.4,657.0,399.0
2014-07-25 19:24:00,27.2,33.3,656.0,399.0
2014-07-25 20:23:00,29.6,30.9,632.0,378.0
2014-07-25 20:24:00,29.7,30.9,633.0,378.0
2014-07-25 20:25:00,29.9,30.9,633.0,379.0
2014-07-25 20:26:00,30.0,30.9,634.0,379.0
2014-07-25 21:25:00,30.9,28.8,601.0,358.0
2014-07-25 21:26:00,30.9,28.8,601.0,358.0
2014-07-25 21:27:00,30.8,28.8,601.0,358.0
2014-07-25 21:28:00,30.9,28.8,601.0,358.0
2014-07-25 22:28:00,33.8,27.7,588.0,350.0
2014-07-25 22:29:00,33.7,27.7,590.0,350.0
2014-07-25 22:30:00,33.7,27.7,590.0,350.0
2014-07-25 22:31:00,33.7,27.8,590.0,350.0
2014-07-25 23:30:00,35.6,26.7,576.0,342.0
2014-07-25 23:31:00,35.5,26.7,576.0,342.0
2014-07-25 23:32:00,35.45,26.7,577.0,343.0
2014-07-25 23:33:00,35.4,26.7,577.0,343.0
2014-07-26 00:33:00,34.5,25.9,566.0,334.0
2014-07-26 00:34:00,34.7,26.0,567.0,334.0
2014-07-26 00:35:00,34.7,26.0,568.0,334.0
2014-07-26 00:36:00,34.6,26.0,568.0,335.0
2014-07-26 01:35:00,31.9,25.9,559.5,331.0
2014-07-26 01:36:00,32.2,26.0,561.0,332.0
2014-07-26 01:37:00,32.1,26.05,561.0,332.0
2014-07-26 01:38:00,32.0,26.1,562.0,332.0
2014-07-26 02:38:00,31.4,25.7,560.0,329.0
2014-07-26 02:39:00,31.35,25.8,560.0,329.0
2014-07-26 02:40:00,31.6,25.8,561.0,329.0
2014-07-26 02:41:00,31.4,25.8,561.0,329.0
2014-07-26 03:41:00,38.7,22.7,540.0,311.0
2014-07-26 03:42:00,38.6,22.7,540.0,312.0
2014-07-26 03:43:00,38.4,22.7,541.0,312.0
