year,month,day,hour,min,sec,close_hour,cmin,csec,open_hour,omin,osec,camb,close_month,close_day
2014,7,18,16,16,27,16,38,0,16,37,29,1,7,18
2014,7,18,17,18,41,17,40,19,17,39,49,1,7,18
2014,7,18,18,21,1,18,42,39,18,42,9,1,7,18
2014,7,18,19,23,21,19,45,0,19,44,29,1,7,18
2014,7,18,20,25,42,20,47,20,20,46,50,1,7,18
2014,7,18,21,28,3,21,49,42,21,49,12,1,7,18
2014,7,18,22,30,25,22,52,6,22,51,35,1,7,18
2014,7,18,23,32,47,23,54,25,23,53,55,1,7,18
2014,7,19,0,35,1,0,56,36,0,56,5,1,7,19
2014,7,19,1,37,11,1,58,53,1,58,23,1,7,19
2014,7,19,2,39,43,3,1,24,3,0,54,1,7,19
2014,7,19,3,42,14,4,3,56,4,3,25,1,7,19
2014,7,19,4,44,47,5,6,28,5,5,57,1,7,19
2014,7,19,5,47,19,6,9,0,6,8,30,1,7,19
2014,7,19,6,49,52,7,11,32,7,11,2,1,7,19
2014,7,19,7,52,25,8,14,6,8,13,36,1,7,19
2014,7,19,8,55,0,9,16,39,9,16,9,1,7,19
2014,7,19,9,57,31,10,19,14,10,18,44,1,7,19
2014,7,19,11,0,12,11,21,56,11,21,26,1,7,19
2014,7,19,12,2,54,12,24,39,12,24,8,1,7,19
2014,7,19,13,5,37,13,27,22,13,26,51,1,7,19
2014,7,19,14,8,19,14,30,5,14,29,34,1,7,19
2014,7,19,15,11,2,15,32,49,15,32,18,1,7,19
2014,7,19,16,13,46,16,35,33,16,35,2,1,7,19
2014,7,19,17,16,31,17,38,17,17,37,46,1,7,19
2014,7,19,18,19,13,18,40,59,18,40,29,1,7,19
2014,7,19,19,21,55,19,43,41,19,43,10,1,7,19
2014,7,19,20,24,38,20,46,23,20,45,53,1,7,19
2014,7,19,21,27,20,21,49,6,21,48,36,1,7,19
2014,7,19,22,30,3,22,51,49,22,51,18,1,7,19
2014,7,19,23,32,46,23,54,32,23,54,1,1,7,19
2014,7,20,0,35,23,0,57,6,0,56,36,1,7,20
2014,7,20,1,37,55,1,59,36,1,59,6,1,7,20
2014,7,20,2,40,26,3,2,7,3,1,37,1,7,20
2014,7,20,3,42,57,4,4,38,4,4,7,1,7,20
2014,7,20,4,45,28,5,7,9,5,6,39,1,7,20
2014,7,20,5,48,0,6,9,40,6,9,10,1,7,20
2014,7,20,6,50,32,7,12,12,7,11,41,1,7,20
2014,7,20,7,53,4,8,14,44,8,14,14,1,7,20
2014,7,20,8,55,37,9,17,18,9,16,47,1,7,20
2014,7,20,9,58,11,10,19,55,10,19,25,1,7,20
2014,7,20,11,0,56,11,22,41,11,22,11,1,7,20
